Desired Heading,Current Heading,Heading Difference,Movements,left_weightage,right_weightage
112.85,134.14,-21.29,Auto:Turning Forward,,
112.85,132.58,-19.73,Forward Right tilt,,
112.85,127.84,-14.99,Auto:Turning Forward,,
112.85,129.09,-16.24,Forward Right tilt,,
112.85,125.16,-12.31,Auto:Turning Forward,,
112.85,128.62,-15.77,Forward Right tilt,,
112.85,132.79,-19.94,Auto:Turning Forward,,
112.85,130.13,-17.28,Forward Right tilt,,
112.85,130.99,-18.14,Auto:Turning Forward,,
112.85,120.60,-7.75,Forward Right tilt,,
113.22,112.11,1.11,Auto:Turning Forward,,
113.22,110.23,2.99,Forward Right tilt,,
113.22,109.70,3.52,Auto:Turning Forward,,
113.22,106.12,7.11,Forward Right tilt,,
113.22,104.34,8.88,Auto:Turning Forward,,
113.22,104.81,8.41,Forward Right tilt,,
113.22,106.37,6.86,Auto:Turning Forward,,
113.54,107.16,6.38,Forward Right tilt,,
113.54,111.96,1.58,Auto:Turning Forward,,
113.54,117.06,-3.52,Forward Right tilt,,
113.54,113.54,0.01,Auto:Turning Forward,,
113.54,110.24,3.30,Forward Right tilt,,
113.54,106.92,6.63,Auto:Turning Forward,,
113.54,105.11,8.44,Forward Right tilt,,
113.54,107.92,5.63,Auto:Turning Forward,,
113.54,110.51,3.04,No Obsticle: Moving straight,,
113.54,115.93,-2.39,Auto:Turning Forward,,
113.54,117.58,-4.03,No Obsticle: Moving straight,,
113.54,124.30,-10.75,Auto:Turning Forward,,
113.54,115.17,-1.62,No Obsticle: Moving straight,,
113.54,112.34,1.20,Auto:Turning Forward,,
114.12,104.01,10.11,No Obsticle: Moving straight,,
114.12,102.37,11.75,Auto:Turning Forward,,
114.12,101.52,12.60,No Obsticle: Moving straight,,
114.12,97.06,17.06,Auto:Turning Forward,,
114.12,93.03,21.09,No Obsticle: Moving straight,,
114.12,95.65,18.46,Auto:Turning Forward,,
114.12,98.39,15.73,No Obsticle: Moving straight,,
114.12,97.08,17.04,Auto:Turning Forward,,
114.12,98.10,16.02,No Obsticle: Moving straight,,
114.12,96.94,17.18,Auto:Turning Forward,,
114.12,97.37,16.75,No Obsticle: Moving straight,,
114.31,104.16,10.16,Auto:Turning Forward,,
114.31,108.77,5.55,No Obsticle: Moving straight,,
114.31,105.62,8.69,Auto:Turning Forward,,
114.31,105.48,8.83,No Obsticle: Moving straight,,
114.31,102.04,12.27,Auto:Turning Forward,,
114.31,105.59,8.72,No Obsticle: Moving straight,,
114.31,107.79,6.53,Auto:Turning Forward,,
114.31,111.08,3.23,No Obsticle: Moving straight,,
114.31,108.59,5.73,Auto:Turning Forward,,
114.31,110.36,3.95,No Obsticle: Moving straight,,
114.31,106.32,7.99,Auto:Turning Forward,,
114.31,102.99,11.32,No Obsticle: Moving straight,,
114.31,102.83,11.48,Auto:Turning Forward,,
114.31,101.86,12.45,No Obsticle: Moving straight,,
114.31,103.30,11.01,Auto:Turning Forward,,
114.31,102.99,11.32,No Obsticle: Moving straight,,
114.31,105.30,9.01,Auto:Turning Forward,,
114.31,103.22,11.10,No Obsticle: Moving straight,,
114.31,103.86,10.45,Auto:Turning Forward,,
114.31,98.65,15.67,Forward Right tilt,,
114.31,93.82,20.49,Auto:Turning Forward,,
114.90,92.19,22.71,Forward Right tilt,,
114.90,89.48,25.42,Auto:Turning Forward,,
114.90,90.17,24.73,Forward Right tilt,,
114.90,88.44,26.46,Auto:Turning Forward,,
114.90,86.27,28.63,Forward Right tilt,,
114.90,85.27,29.64,Auto:Turning Forward,,
114.90,82.59,32.31,Forward Right tilt,,
114.77,80.27,34.50,Auto:Turning Forward,,
114.77,85.63,29.14,Forward Right tilt,,
114.77,84.35,30.42,Auto:Turning Forward,,
114.77,90.50,24.27,Forward Right tilt,,
114.77,99.69,15.08,Auto:Turning Forward,,
114.77,104.20,10.57,Forward Right tilt,,
114.77,104.59,10.18,Auto:Turning Forward,,
114.77,96.88,17.89,Forward Right tilt,,
114.77,95.88,18.89,Auto:Turning Forward,,
114.77,97.47,17.30,Forward Right tilt,,
114.77,98.66,16.10,Auto:Turning Forward,,
114.77,93.36,21.41,Forward Right tilt,,
114.77,92.13,22.64,Auto:Turning Forward,,
114.77,95.10,19.67,Forward Right tilt,,
114.77,102.77,12.00,Auto:Turning Forward,,
114.77,112.44,2.33,Forward Right tilt,,
114.77,118.88,-4.11,Auto:Turning Forward,,
114.77,126.47,-11.71,Forward Right tilt,,
114.77,116.63,-1.86,Auto:Turning Forward,,
114.77,96.45,18.32,Forward Right tilt,,
114.77,80.39,34.38,Auto:Turning Forward,,
114.77,69.91,44.86,Forward Right tilt,,
114.77,71.78,42.99,Auto:Turning Left,,
114.77,70.95,43.82,Auto:Turning Left,,
114.77,73.81,40.95,Auto:Turning Left,,
114.77,75.10,39.67,Auto:Turning Forward,,
114.77,81.19,33.58,Forward Right tilt,,
114.77,88.14,26.63,Auto:Turning Left,,
114.77,96.33,18.44,Auto:Turning Right,,
